s.no,about_item,asin,availability,best_sellers_rank,brand_name,breadcrumbs,default_variant/0,default_variant/1,default_variant/2,delivery_date,fastest_delivery_date,list_price,manufacturer,model_number,price_value,product_description,rating_count,rating_distribution/1star,rating_distribution/2star,rating_distribution/3star,rating_distribution/4star,rating_distribution/5star,rating_stars,recent_purchases,seller_name,title,rank_1
11,"500W motor handles soups, sauces, smoothies, and baby food; S-shaped stainless steel blade resists bending; 3 speed settings with pulse function; Detachable shaft for easy cleaning; Splash guard ring prevents mess; Variable speed trigger",B0DX90LQ67,In Stock,"#3,445 in Kitchen & Dining (#271 in Immersion Blenders)",QuickBlend Store,"Kitchen > Blenders > Immersion Blenders",,color:Stainless Silver,,"Saturday, April 19","Tomorrow, April 18","List Price: $39.99",QuickBlend,QB-IB500,28.99,"500W immersion hand blender with 3 speeds and detachable shaft for easy cleaning","178 ratings",11%,8%,16%,27%,38%,"3.9 out of 5 stars",,QuickBlend,"QuickBlend Immersion Hand Blender 500W — 3 Speeds Pulse Function Detachable Dishwasher-Safe Shaft",271
12,"80kPa commercial-strength suction for airtight food preservation seals; Automatic sealing mode detects bag end and stops automatically; Manual mode for delicate foods and marinating; Dry and moist food settings; Built-in bag cutter stores flush; Compatible with all embossed vacuum bags and rolls; Extends freshness up to 5x over standard storage",B0QM33KT56,In Stock,"#3,421 in Automotive (#209 in Portable Air Compressors)",ChefSeal Pro Store,"Automotive > Garage & Shop > Air Compressors & Inflators > Portable Air Compressors",,color:Silver Gray,,"Saturday, April 19","Tomorrow, April 18","List Price: $69.99",ChefSeal Pro,CS-VAC80,49.99,"Automatic vacuum food sealer with 80kPa suction for extended food freshness","234 ratings",9%,7%,13%,27%,44%,"4.1 out of 5 stars",,ChefSeal Pro,"ChefSeal Pro Vacuum Food Sealer Machine — 80kPa Automatic and Manual Modes Dry and Moist Settings",209
13,"2000W AC professional motor for consistent high-speed airflow without overheating; Tourmaline ionic technology emits negative ions to reduce frizz up to 80% and enhance natural shine; 3 heat settings and 2 speed settings for versatile styling control; Concentrator nozzle and curl diffuser attachments included; Cool-shot button locks in style; 9-foot professional-length swivel cord",B0XL92MK43,In Stock,"#612 in Beauty & Personal Care (#62 in Hair Dryers)",SalonPro Store,"Beauty & Personal Care > Hair Care > Hair Dryers",,color:Midnight Black,,"Saturday, April 19","Tomorrow, April 18","List Price: $99.99",SalonPro,SP-TD2000,74.99,"Professional-grade tourmaline ionic hair dryer for salon-quality styling at home","4,200 ratings",4%,3%,8%,19%,66%,"4.5 out of 5 stars","220+ bought",SalonPro,"SalonPro Tourmaline Ionic Hair Dryer 2000W — 3 Heat 2 Speed Concentrator and Diffuser Included",62
14,"Ceramic-coated plates heat evenly to 450F with 30-second heat-up; Floating plates adjust automatically to any hair thickness from fine to coarse; 1-inch plates suitable for all hair lengths; Cool-tip ends prevent accidental burns; Auto-shutoff after 60 minutes",B0GF67NX89,In Stock,"#4,788 in Beauty & Personal Care (#387 in Hair Straighteners)",GlossFlat Store,"Beauty & Personal Care > Hair Care > Styling Tools > Hair Straighteners",,color:Pink,,"Saturday, April 19","Tomorrow, April 18",,GlossFlat,GF-CS1,28.99,"1-inch ceramic hair straightener with floating plates and auto-shutoff for all hair types","145 ratings",15%,11%,19%,26%,29%,"3.7 out of 5 stars",,GlossFlat,"GlossFlat Ceramic Hair Straightener 1-Inch — Floating Plates 450F 60-Minute Auto-Shutoff",387
15,"35000RPM brushless motor delivers smooth consistent drilling power; 6 interchangeable bits for filing, shaping, gel removal, acrylic infill, and cuticle care; Forward and reverse rotation switch; Stepless variable speed 0-35000RPM; Low-vibration design reduces hand fatigue; Compact handpiece weighs only 120g",B0MP45QK12,In Stock,"#1,823 in Beauty & Personal Care (#142 in Nail Drills)",NailPro Store,"Beauty & Personal Care > Nail Care > Nail Drills & Files",,color:White,,"Saturday, April 19","Tomorrow, April 18","List Price: $59.99",NailPro,NP-ND35,42.99,"35000RPM electric nail drill with 6 bits for home nail care and gel removal","398 ratings",6%,4%,10%,22%,58%,"4.2 out of 5 stars","50+ bought",NailPro,"NailPro Electric Nail Drill 35000RPM — 6-Bit Set Forward Reverse Variable Speed Home Nail Care",142
16,"192 medical-grade LED bulbs covering full face and neck in single treatment; Red light at 630nm wavelength stimulates collagen production for anti-aging; Blue light at 415nm targets acne-causing P.acnes bacteria; Amber and near-infrared modes for skin tone and healing; 7 wavelength combination modes; FDA-cleared for home use; 20-minute auto-shutoff with session timer; Lightweight 280g mask with adjustable head strap",B0RT21KC89,In Stock,"#184 in Beauty & Personal Care (#28 in Facial Treatment Devices)",ProGlow Skincare Store,"Beauty & Personal Care > Skin Care > Facial Treatment Devices",,color:White,,"Saturday, April 19","Tomorrow, April 18","List Price: $179.99",ProGlow Skincare,PG-LED-192,139.99,"Multi-wavelength LED light therapy mask for clinical-grade skin treatment at home","2,200 ratings",2%,2%,5%,14%,77%,"4.7 out of 5 stars","90+ bought",ProGlow Skincare,"ProGlow 192-LED Red and Blue Light Therapy Facial Device — 7 Wavelength Modes FDA-Cleared Anti-Aging and Acne",28
17,"Produces nano-size steam particles that penetrate pores 10x deeper than hot steam; Built-in UV sterilizer kills 99.9% of bacteria in the water tank; Adjustable 360-degree nozzle; 8-minute auto-shutoff for safety; 80ml capacity for a full facial session; Suitable for all skin types",B0DL45TN78,In Stock,"#3,234 in Beauty & Personal Care (#256 in Facial Steamers)",PureSteam Store,"Beauty & Personal Care > Skin Care > Facial Steamers",,color:White,,"Saturday, April 19","Tomorrow, April 18",,PureSteam,PS-NF80,36.99,"Nano-steam facial steamer with UV sterilizer and adjustable nozzle for deep pore cleansing","212 ratings",8%,6%,14%,28%,44%,"4.0 out of 5 stars",,PureSteam,"PureSteam Mini Facial Steamer with UV Sterilizer — Nano Steam 360 Nozzle 8-Minute Auto-Shutoff",256
18,"12 reusable stencil shapes for natural and defined brow styles; Clear flexible plastic for precise alignment with brow bone; Works with pencils, powders, pomades, and gels; Includes how-to guide with shaping tips; Wipe-clean and reusable; Suitable for beginners",B0KN89QM33,In Stock,"#5,678 in Beauty & Personal Care (#445 in Eyebrow Tools)",BrowShape Store,"Beauty & Personal Care > Makeup > Eye Makeup > Eyebrow Tools",,,,"Saturday, April 19","Tomorrow, April 18",,BrowShape,BS-ST12,11.99,"12-piece reusable eyebrow stencil kit for defined natural brow shaping at home","98 ratings",12%,9%,16%,27%,36%,"3.9 out of 5 stars",,BrowShape,"BrowShape Eyebrow Stencil Kit 12-Pack — Reusable Clear Flexible Works with Pencil Powder and Pomade",445
19,"30kHz ultrasonic vibration exfoliates dead skin cells and extracts blackheads gently; Ionic mode infuses serums and moisturizers 25x deeper into skin; 3 modes: scrub, lift, and infuse; Waterproof IPX6 stainless steel spatula blade; USB rechargeable with 2-hour battery life; Suitable for all skin types",B0WX23NK67,In Stock,"#2,134 in Beauty & Personal Care (#167 in Skin Cleansing Systems)",SonicPeel Store,"Beauty & Personal Care > Skin Care > Facial Cleansing Devices",,color:Silver,,"Saturday, April 19","Tomorrow, April 18","List Price: $59.99",SonicPeel,SP-USS30,43.99,"Ultrasonic skin scrubber spatula with 3 modes for exfoliation blackhead removal and serum infusion","334 ratings",7%,5%,11%,23%,54%,"4.2 out of 5 stars","50+ bought",SonicPeel,"SonicPeel Ultrasonic Skin Scrubber Spatula — 3 Modes Exfoliation Blackhead Removal Serum Infusion IPX6",167
20,"Dual-temperature wax heater with low setting for sensitive skin; 400ml wax capacity for full body waxing sessions; Overheat protection auto-cutoff; Includes hard wax beads starter kit, pre-wax oil, and 10 spatulas; LCD temperature display; Suitable for face, underarms, legs, and bikini line",B0FK34LM90,In Stock,"#3,901 in Beauty & Personal Care (#312 in Hair Removal Kits)",SilkWax Store,"Beauty & Personal Care > Hair Removal > Wax Kits",,,,"Saturday, April 19","Tomorrow, April 18",,SilkWax,SW-WK400,25.99,"Professional wax warmer kit with hard wax beads pre-wax oil and spatulas for full body hair removal","178 ratings",13%,9%,16%,26%,36%,"3.8 out of 5 stars",,SilkWax,"SilkWax Professional Wax Warmer Kit — 400ml Dual Temperature LCD Display Hard Wax Beads Included",312
21,"0.25mm titanium needle length suitable for beginners and daily use; 540 micro-needles in a roller drum for collagen induction therapy; Ergonomic grip handle for controlled pressure; Hygienic sealed cap protects needles between sessions; Replacement roller available separately; Use with vitamin C or hyaluronic acid serum for best results",B0MK12XN45,In Stock,"#4,123 in Beauty & Personal Care (#323 in Skin Rollers)",DermRoll Store,"Beauty & Personal Care > Skin Care > Skin Rollers & Stamps",,color:Pink,,"Saturday, April 19","Tomorrow, April 18",,DermRoll,DR-MT025,17.99,"0.25mm titanium microneedling face roller for collagen stimulation and serum absorption","122 ratings",9%,7%,14%,28%,42%,"4.1 out of 5 stars",,DermRoll,"DermRoll 0.25mm Titanium Microneedle Face Roller — 540 Needles Collagen Induction Serum Absorption",323
22,"35000RPM brushless motor maintains consistent speed under load without overheating; 6 interchangeable carbide and ceramic drill bits for filing, shaping, gel removal, acrylic maintenance, and cuticle care; Forward and reverse rotation via single-switch; Stepless variable speed 1000-35000RPM; USB rechargeable with 3-hour battery; Compact 170g handpiece; Used by nail technicians and home users",B0MK72XQ34,In Stock,"#921 in Beauty & Personal Care (#54 in Nail Drills)",CutiePro Store,"Beauty & Personal Care > Nail Care > Nail Drills & Files",,color:Rose Gold,,"Saturday, April 19","Tomorrow, April 18","List Price: $89.99",CutiePro,CP-ND35K,67.99,"Professional-grade brushless electric nail drill for salon-quality nail care at home","2,600 ratings",3%,2%,7%,18%,70%,"4.6 out of 5 stars","140+ bought",CutiePro,"CutiePro 35000RPM Electric Nail Drill — Professional Brushless Motor 6-Bit Set Forward Reverse USB Rechargeable",54
23,"20-piece set includes Phillips #0 #1 #2, flathead 3mm 4mm 5mm 6mm, Torx T10 T15 T20 T25, and hex 2mm 3mm 4mm 5mm bits; Magnetic S2 steel tips retain fasteners; Non-slip ergonomic handle; Rotating cap for precision work; Storage case included",B0XK23LM78,In Stock,"#3,678 in Tools & Home Improvement (#289 in Screwdriver Sets)",ToolMate Store,"Tools & Home Improvement > Hand Tools > Screwdrivers > Screwdriver Sets",,,,"Saturday, April 19","Tomorrow, April 18",,ToolMate,TM-SD20,19.99,"20-piece magnetic precision screwdriver set with multi-type bits and storage case","223 ratings",9%,7%,13%,27%,44%,"4.0 out of 5 stars",,ToolMate,"ToolMate 20-Piece Magnetic Precision Screwdriver Set — Phillips Flathead Torx Hex with Storage Case",289
24,"10-150 ft-lb torque range with +/-2% digital accuracy; Audible beep and tactile vibration alert at preset torque value; Digital LCD displays target and live torque simultaneously; Chrome vanadium steel construction; Reversible 1/2-inch drive head; Includes 72-tooth ratchet and storage case; Memory function stores 3 preset torque values",B0YL34KM90,In Stock,"#1,245 in Tools & Home Improvement (#98 in Torque Wrenches)",TorqueMaster Store,"Tools & Home Improvement > Hand Tools > Wrenches > Torque Wrenches",,color:Black,,"Saturday, April 19","Tomorrow, April 18","List Price: $79.99",TorqueMaster,TM-DTW150,54.99,"Digital torque wrench 1/2-inch drive 10-150 ft-lbs with audible and tactile alert","356 ratings",8%,6%,12%,26%,48%,"4.2 out of 5 stars",,TorqueMaster,"TorqueMaster Pro Digital Torque Wrench 1/2-Inch Drive — 10-150 ft-lbs Audible Click Alert Chrome Vanadium",98
25,"Brushless motor delivers 530 in-lbs maximum torque for demanding applications; 2-speed gearbox: 0-500RPM for drilling and 0-1800RPM for driving; 13mm single-sleeve keyless chuck accepts standard and impact bits; Integrated LED work light with 20-second delay off; 2x 2.0Ah lithium-ion batteries with 60-minute rapid charger; Hammer drill function for masonry and concrete; Belt clip included",B0YX84TM67,In Stock,"#248 in Tools & Home Improvement (#31 in Cordless Drills)",ProGrip Tools Store,"Tools & Home Improvement > Power Tools > Drills > Cordless Drills",,color:Black Yellow,,"Saturday, April 19","Tomorrow, April 18","List Price: $159.99",ProGrip Tools,PG-CD20BL,119.99,"20V MAX brushless cordless drill with hammer function LED and 2x2.0Ah battery kit","1,400 ratings",2%,1%,4%,13%,80%,"4.8 out of 5 stars","60+ bought",ProGrip Tools,"ProGrip 20V MAX Brushless Cordless Drill Driver — 530 In-Lbs Torque Hammer Mode 2-Speed 2x2.0Ah Battery",31
26,"Set of 3 utility knives with metal bodies and rubberized grip zones; Quick-change blade release with no tools required; Retractable blade with 3-position lock; 10 SK5 steel spare blades per knife; Belt clip on each handle; Wrist strap attachment point",B0FK56TX23,In Stock,"#4,123 in Tools & Home Improvement (#324 in Utility Knives)",StrikeTrue Store,"Tools & Home Improvement > Hand Tools > Utility Knives",,color:Black,,"Saturday, April 19","Tomorrow, April 18",,StrikeTrue,ST-UK3PK,14.99,"3-pack utility knife set with retractable blades and 30 spare SK5 steel blades included","167 ratings",11%,8%,15%,27%,39%,"3.9 out of 5 stars",,StrikeTrue,"StrikeTrue Utility Knife Set 3-Pack — Retractable Blade Quick-Change Metal Body 10 Spare Blades Each",324
27,"Magnetic tip grips screws and fasteners during positioning; 25-foot length with automatic rewind; 1/16-inch graduations in both inches and metric; Rubber bumper on case for drop protection; Belt clip and thumb lock; Nylon-coated blade resists abrasion and corrosion",B0QN45KX12,In Stock,"#3,456 in Tools & Home Improvement (#272 in Tape Measures)",MeasurePro Store,"Tools & Home Improvement > Measuring & Layout Tools > Tape Measures",,,,"Saturday, April 19",,"List Price: $22.99",MeasurePro,MP-TM25M,16.99,"25-foot magnetic-tip tape measure with rubber bumper and both inch and metric graduations","189 ratings",9%,6%,13%,28%,44%,"4.1 out of 5 stars",,MeasurePro,"MeasurePro Magnetic Tip Tape Measure 25ft — Auto-Rewind Inch and Metric Rubber Bumper Belt Clip",272
28,"48-inch length spans standard door frames and cabinet openings; Dual plumb vials for level and plumb readings simultaneously; 4 magnetic sides grip steel studs and pipes hands-free; Shock-absorbing rubber end caps; Milled aluminum frame; Accuracy guaranteed to 0.029 degrees",B0WX78NK34,In Stock,"#3,789 in Tools & Home Improvement (#298 in Levels & Surveying Equipment)",TrueLevel Store,"Tools & Home Improvement > Measuring & Layout Tools > Levels",,,,"Saturday, April 19","Tomorrow, April 18",,TrueLevel,TL-BL48M,24.99,"48-inch magnetic box level with dual plumb vials and rubber end caps for construction and renovation","134 ratings",9%,7%,15%,27%,42%,"4.0 out of 5 stars",,TrueLevel,"TrueLevel 48-Inch Magnetic Box Level — Dual Plumb Vials Rubber End Caps Milled Aluminum Frame",298
29,"Variable speed 5000-32000RPM dial for precision control; 200-piece accessory set includes cutting discs, grinding stones, polishing bits, sanding drums, and engraving bits; Flexible shaft attachment for extended reach; Keyless chuck accepts 1/32 to 1/8-inch shanks; Overload protection circuit; Carrying case and quick-start guide",B0MN56QT89,In Stock,"#1,234 in Tools & Home Improvement (#97 in Rotary Tools & Accessories)",SpinMaster Store,"Tools & Home Improvement > Power Tools > Rotary Tools",,color:Black,,"Saturday, April 19","Tomorrow, April 18","List Price: $69.99",SpinMaster,SM-RT200,49.99,"Variable speed rotary tool kit with 200 accessories for cutting grinding polishing and engraving","445 ratings",5%,4%,10%,23%,58%,"4.3 out of 5 stars","50+ bought",SpinMaster,"SpinMaster Rotary Tool Kit 200-Piece — Variable Speed 5000-32000RPM Flexible Shaft Carrying Case",97
30,"Finds wood and metal studs behind drywall with 95% first-pass accuracy; Deep scan mode locates studs through plaster and tiles up to 1.5 inches deep; AC live wire detection warns of hidden electrical; LCD displays stud center with confidence bar; Magnetized back grips wall for hands-free use; 9V battery included",B0DK78LM45,In Stock,"#3,567 in Tools & Home Improvement (#281 in Stud Finders",WallFinder Store,"Tools & Home Improvement > Measuring & Layout Tools > Stud Finders",,color:Yellow,,"Saturday, April 19","Tomorrow, April 18",,WallFinder,WF-PRO15,22.99,"Electronic stud finder with deep scan AC wire detection and LCD confidence display","201 ratings",11%,8%,15%,26%,40%,"3.9 out of 5 stars",,WallFinder,"WallFinder Pro Electronic Stud Finder — Deep Scan AC Wire Detection LCD Confidence Display",281
31,"Variable speed 10000-21000OPM oscillating tool for cutting, sanding, grinding, and scraping; Tool-free blade change system swaps accessories in under 5 seconds; Universal fit accessory interface accepts all major brand blades; Ergonomic body with anti-vibration design; LED task light; Kit includes 14 accessories and carry bag",B0QK23MN56,In Stock,"#1,456 in Tools & Home Improvement (#114 in Oscillating Tool Kits",OscillaPro Store,"Tools & Home Improvement > Power Tools > Oscillating Tools",,color:Blue Black,,"Saturday, April 19","Tomorrow, April 18","List Price: $79.99",OscillaPro,OP-MT21K,59.99,"Variable speed oscillating multi-tool kit with 14 accessories and universal blade interface","378 ratings",5%,3%,9%,21%,62%,"4.4 out of 5 stars","50+ bought",OscillaPro,"OscillaPro Variable Speed Oscillating Multi-Tool — 14 Accessories Tool-Free Change Universal Fit",114
32,"40-piece set with SAE and metric coverage: 3/8-inch drive sizes 5/16 to 7/8-inch and 8mm to 22mm; Chrome vanadium steel with satin chrome finish resists corrosion; 72-tooth ratchet gives 5-degree swing arc in tight spaces; Extension bar and universal joint included; Blow-molded storage case with labeled slots",B0XK89NQ23,In Stock,"#2,134 in Tools & Home Improvement (#168 in Socket Sets)",TorqueSet Store,"Tools & Home Improvement > Hand Tools > Socket Sets",,color:Silver,,"Saturday, April 19","Tomorrow, April 18","List Price: $54.99",TorqueSet,TS-SW40K,39.99,"40-piece chrome vanadium socket wrench set with 72-tooth ratchet SAE and metric coverage","312 ratings",7%,5%,11%,25%,52%,"4.2 out of 5 stars",,TorqueSet,"TorqueSet 40-Piece Chrome Vanadium Socket Wrench Set — SAE and Metric 72-Tooth Ratchet Storage Case",168
33,"ECG-accurate heart rate measurement within +/-1bpm validated against clinical equipment; Bluetooth 5.0 and ANT+ dual-protocol transmission pairs with all major fitness apps and devices; Compatible with Garmin, Polar, Wahoo, Apple Watch, Peloton, and all Bluetooth/ANT+ cycling computers; Medical-grade soft-touch fabric strap adjustable 60-130cm; USB rechargeable via magnetic cable with 400-hour battery life on single charge; IPX7 waterproof rated for swimming and triathlon",B0QN56YK12,In Stock,"#437 in Sports & Outdoors (#39 in Heart Rate Monitors)",PerformX Sports Store,"Sports & Outdoors > Exercise & Fitness > Cardio > Heart Rate Monitors",,color:Black,,"Saturday, April 19","Tomorrow, April 18","List Price: $69.99",PerformX Sports,PX-HRM-BT5,54.99,"ECG-accurate Bluetooth 5.0 and ANT+ heart rate chest strap for athletes coaches and serious fitness tracking","3,500 ratings",3%,2%,6%,16%,73%,"4.7 out of 5 stars","180+ bought",PerformX Sports,"PerformX Pro Bluetooth 5.0 ANT+ Heart Rate Monitor Chest Strap — ECG Accuracy 400hr Battery Garmin Polar Wahoo Compatible",39
34,"Adjustable length 7.5 to 10 feet suits heights 4ft 8in to 6ft 4in; 1lb weighted handles add resistance for upper body conditioning; PVC speed rope with anti-tangle coating; Aluminum alloy handles with cushioned grip; Includes 2 extra cables: standard PVC and thin speed wire",B0DK56XM23,In Stock,"#3,234 in Sports & Outdoors (#256 in Jump Ropes)",SpeedRope Store,"Sports & Outdoors > Exercise & Fitness > Cardio > Jump Ropes",,,,"Saturday, April 19","Tomorrow, April 18",,SpeedRope,SR-WJR1,12.99,"Adjustable weighted jump rope with anti-tangle PVC cable and cushioned aluminum handles","156 ratings",8%,6%,14%,29%,43%,"4.1 out of 5 stars",,SpeedRope,"SpeedRope Weighted Jump Rope — 1lb Handles Adjustable Length Anti-Tangle PVC Cable with Speed Wire",256
35,"6-inch diameter EVA foam provides firm pressure for deep tissue massage; 13-inch length covers back quads hamstrings and calves effectively; Hollow core reduces weight to 1.1lb for portability; Ridged and flat zones target different muscle groups; Includes 15-exercise illustrated guide card",B0WX45QN78,In Stock,"#1,678 in Sports & Outdoors (#134 in Foam Rollers)",TriggerCore Store,"Sports & Outdoors > Exercise & Fitness > Recovery > Foam Rollers",,,,"Saturday, April 19","Tomorrow, April 18",,TriggerCore,TC-FR13,24.99,"13-inch EVA foam roller with ridged surface for deep tissue massage and post-workout recovery","445 ratings",4%,3%,9%,24%,60%,"4.3 out of 5 stars","50+ bought",TriggerCore,"TriggerCore Grid Foam Roller 13-Inch — Firm EVA Deep Tissue Recovery Ridged and Flat Zones",134
