s.no,about_item,asin,availability,best_sellers_rank,brand_name,breadcrumbs,default_variant/0,default_variant/1,default_variant/2,delivery_date,fastest_delivery_date,list_price,manufacturer,model_number,price_value,product_description,rating_count,rating_distribution/1star,rating_distribution/2star,rating_distribution/3star,rating_distribution/4star,rating_distribution/5star,rating_stars,recent_purchases,seller_name,title,rank_1
11,"Styled to catch preteen girls, this listing still reads differently once you inspect the functional details: hinge strength, slot width, and shell rigidity all matter more to traveling watch collectors moving between carry-on bag and hotel dresser.",B0WNLM70B9,Only 4 left in stock,"#30,176 in Home & Kitchen (See Top 100 in Home & Kitchen)    #86 in Jewelry Boxes",CedarBlink Store,Home & Kitchen › Storage & Organization › Jewelry Boxes,size:small-wrist,color:cream,,"Friday, April 24","Sunday, April 19",List Price: $34.25,CedarBlink,CED-1011,28.75,"Everything visual about PrincessVault Trinket Box appears tuned for preteen girls, yet the use-case language hidden in comments better fits traveling watch collectors. Across repeated mentions, customers care about hinge strength, slot width, and shell rigidity when the item is pulled into carry-on bag or parked near vanity tray. That mismatch is the market gap embedded in this batch.","1,874 ratings",7%,8%,14%,24%,47%,4.1 out of 5 stars,1K+ bought,CedarBlink,PrincessVault Trinket Box,381.0
12,"Promotional language leans playful, but the build itself is unusually practical for postpartum parents and desk workers; the useful bits are coccyx relief, cover washability, plus steadier carry weight when the item lives on a nursery rocker.",B03PLLGVOJ,In Stock,"#40,829 in Automotive (See Top 100 in Automotive)    #8 in Seat Cushions",VioletQuill Store,Automotive › Interior Accessories › Seat Cushions,size:compact,color:stone,,"Wednesday, April 22","Monday, April 20",List Price: $35.87,,VIO-1012,31.34,"DriftKing Bucket Cushion is merchandised as if car enthusiasts were the obvious buyer, but the stronger demand signal points toward postpartum parents and desk workers. Review behavior clusters around task-specific needs—coccyx relief, cover washability, and carry weight—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in sedan seat, office chair, or nursery rocker can recognize themselves immediately.",269 ratings,5%,6%,11%,22%,56%,4.2 out of 5 stars,50+ bought,VioletQuill,DriftKing Bucket Cushion,190.0
13,"Instead of leaning on measurements or workflow notes, the page sells an identity for teen gift buyers; meanwhile the physical appeal comes from fast absorption, non-slip finish, and crack relief, which quietly align with hospital staff with sanitizer damage.",B0CYGMABKB,In Stock,"#42,693 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)    #375 in Hand Creams",QuartzElm Store,"Beauty & Personal Care › Foot, Hand & Nail Care › Hand Creams",size:small-wrist,color:charcoal,,"Friday, April 24","Sunday, April 19",List Price: $82.37,QuartzElm,QUA-1013,68.73,"The page composition suggests a straightforward play for teen gift buyers; the retention signal says otherwise. People who keep this item seem to value fast absorption under pressure, cleaner non-slip finish in routine use, and predictable crack relief more than the theme work. Repositioning toward hospital staff with sanitizer damage would likely unlock demand without changing the underlying product.",208 ratings,2%,3%,6%,16%,73%,4.6 out of 5 stars,100+ bought,QuartzElm,SweetCupcake Hand Balm,130.0
14,"The overt story points at home bakers, while the hidden utility shows up in therapy table, kitchen island, and classroom demo; that is where squeeze resistance, seam durability, and hand fatigue start to matter.",B0DDMQS8HD,In Stock,"#15,197 in Kitchen & Dining (See Top 100 in Kitchen & Dining)    #114 in Piping Bags",TidalMirth Store,Kitchen & Dining › Bakeware › Piping Bags,size:quiet,color:black,,"Wednesday, April 22","Tomorrow, April 18",List Price: $78.68,TidalMirth,TID-1014,62.37,"Everything visual about CakeParty Decor Bag appears tuned for home bakers, yet the use-case language hidden in comments better fits occupational therapists doing grip exercises. Across repeated mentions, customers care about squeeze resistance, seam durability, and hand fatigue when the item is pulled into therapy table or parked near classroom demo. That mismatch is the market gap embedded in this batch.",236 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,50+ bought,TidalMirth,CakeParty Decor Bag,268.0
15,"Box art chases lab techs cues, yet the hardware choices center trigger force, mist consistency, and calmer neck threading across salon cart; repeat orders look more consistent with hairstylists and plant parents than with the intended shelf persona.",B0PLQU8EEV,Only 2 left in stock,"#46,132 in Industrial & Scientific (See Top 100 in Industrial & Scientific)    #273 in Spray Bottles",JuniperGauge Store,Industrial & Scientific › Janitorial & Sanitation Supplies › Spray Bottles,size:quiet,color:sand,,"Thursday, April 23","Monday, April 20",List Price: $83.98,JuniperGauge,JUN-1015,73.77,"LabMist Trigger Bottle is merchandised as if lab techs were the obvious buyer, but the stronger demand signal points toward hairstylists and plant parents. Review behavior clusters around task-specific needs—trigger force, mist consistency, and neck threading—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in salon cart, windowsill jungle, or utility sink can recognize themselves immediately.",162 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,300+ bought,JuniperGauge,LabMist Trigger Bottle,134.0
16,"Styled to catch men in gaming ads, this listing still reads differently once you inspect the functional details: toe-box width, quiet outsole, and arch softness all matter more to women buying wide-foot indoor shoes moving between tile kitchen floor and apartment stairwell.",B0HHI52UER,In Stock,"#10,249 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)    #275 in Slippers",BasaltReed Store,"Clothing, Shoes & Jewelry › Men › Slippers",size:wide,color:cream,,"Thursday, April 23","Tomorrow, April 18",List Price: $41.97,BasaltReed,BAS-1016,35.93,"The page composition suggests a straightforward play for men in gaming ads; the retention signal says otherwise. People who keep this item seem to value toe-box width under pressure, cleaner quiet outsole in routine use, and predictable arch softness more than the theme work. Repositioning toward women buying wide-foot indoor shoes would likely unlock demand without changing the underlying product.",344 ratings,2%,3%,6%,16%,73%,4.6 out of 5 stars,300+ bought,BasaltReed,BroLounge Moc Slippers,173.0
17,"Promotional language leans playful, but the build itself is unusually practical for caregivers managing multi-med routines; the useful bits are latch security, label readability, plus steadier compartment depth when the item lives on a travel tote.",B04K351ZIJ,Only 4 left in stock,"#34,378 in Health & Household (See Top 100 in Health & Household)    #338 in Pill Organizers",CoralKnoll Store,Health & Household › Daily Living Aids › Pill Organizers,size:compact,color:stone,,"Thursday, April 23","Tomorrow, April 18",List Price: $96.90,CoralKnoll,COR-1017,89.7,"Everything visual about TeenScene Weekly Case appears tuned for students, yet the use-case language hidden in comments better fits caregivers managing multi-med routines. Across repeated mentions, customers care about latch security, label readability, and compartment depth when the item is pulled into med cart or parked near travel tote. That mismatch is the market gap embedded in this batch.",149 ratings,5%,6%,11%,22%,56%,4.2 out of 5 stars,100+ bought,CoralKnoll,TeenScene Weekly Case,63.0
18,"Instead of leaning on measurements or workflow notes, the page sells an identity for content creators; meanwhile the physical appeal comes from screen height, desk footprint, and hinge stiffness, which quietly align with teachers and transcriptionists.",B0VJLJBTSW,Only 4 left in stock,"#41,718 in Electronics (See Top 100 in Electronics)    #63 in Laptop Stands",HollowMint Store,Electronics › Computer Accessories › Laptop Stands,size:quiet,color:berry,,"Wednesday, April 22","Sunday, April 19",List Price: $29.43,HollowMint,HOL-1018,25.24,"CreatorRise Folding Stand is merchandised as if content creators were the obvious buyer, but the stronger demand signal points toward teachers and transcriptionists. Review behavior clusters around task-specific needs—screen height, desk footprint, and hinge stiffness—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in faculty office, courtroom bench, or front-desk counter can recognize themselves immediately.","3,144 ratings",1%,1%,3%,10%,85%,4.9 out of 5 stars,2K+ bought,HollowMint,CreatorRise Folding Stand,11.0
19,"The overt story points at women hobby gardeners, while the hidden utility shows up in loading bay, plant shelf, and garage bins; that is where abrasion points, wrist closure, and finger reach start to matter.",B0HQV6FO2Y,Only 4 left in stock,"#3,898 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden)    #369 in Gloves",MapleSpur Store,"Patio, Lawn & Garden › Gardening › Gloves",size:travel,color:black,,"Thursday, April 23","Tomorrow, April 18",List Price: $18.41,MapleSpur,MAP-1019,16.83,"The page composition suggests a straightforward play for women hobby gardeners; the retention signal says otherwise. People who keep this item seem to value abrasion points under pressure, cleaner wrist closure in routine use, and predictable finger reach more than the theme work. Repositioning toward warehouse pickers would likely unlock demand without changing the underlying product.",148 ratings,7%,8%,14%,24%,47%,4.1 out of 5 stars,100+ bought,MapleSpur,FloralJoy Garden Gloves,183.0
20,"Box art chases makeup lovers cues, yet the hardware choices center edge lighting, magnification balance, and calmer table stability across hotel sink; repeat orders look more consistent with hearing-aid users checking fit than with the intended shelf persona.",B0EBKZE035,Currently unavailable.,"#54,709 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)    #364 in Mirrors",AeroMoss Store,Beauty & Personal Care › Makeup › Mirrors,size:standard,color:olive,,"Friday, April 24","Monday, April 20",List Price: $85.79,AeroMoss,AER-1020,78.98,"Everything visual about GlamSelfie Travel Mirror appears tuned for makeup lovers, yet the use-case language hidden in comments better fits hearing-aid users checking fit. Across repeated mentions, customers care about edge lighting, magnification balance, and table stability when the item is pulled into hotel sink or parked near audiology visit. That mismatch is the market gap embedded in this batch.",538 ratings,7%,8%,14%,24%,47%,4.1 out of 5 stars,50+ bought,AeroMoss,GlamSelfie Travel Mirror,102.0
21,"Styled to catch student musicians, this listing still reads differently once you inspect the functional details: visual cues, mute mode, and repeat intervals all matter more to ADHD productivity users moving between study block and desk timer.",B02WH6TGIB,Currently unavailable.,"#50,423 in Musical Instruments (See Top 100 in Musical Instruments)    #217 in Metronomes",CedarBlink Store,Musical Instruments › Instrument Accessories › Metronomes,size:travel,color:cream,,"Wednesday, April 22","Sunday, April 19",List Price: $105.07,CedarBlink,CED-1021,92.58,"BeatQuest Practice Timer is merchandised as if student musicians were the obvious buyer, but the stronger demand signal points toward ADHD productivity users. Review behavior clusters around task-specific needs—visual cues, mute mode, and repeat intervals—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in study block, desk timer, or task sprint can recognize themselves immediately.",385 ratings,7%,8%,14%,24%,47%,4.1 out of 5 stars,100+ bought,CedarBlink,BeatQuest Practice Timer,271.0
22,"Promotional language leans playful, but the build itself is unusually practical for people using it for sensory eating pace; the useful bits are groove depth, suction grip, plus steadier dishwasher cleanup when the item lives on a therapy office.",B0DRDE3BJA,In Stock,"#10,226 in Pet Supplies (See Top 100 in Pet Supplies)    #196 in Bowls",VioletQuill Store,Pet Supplies › Dogs › Feeding & Watering Supplies › Bowls,size:quiet,color:navy,,"Thursday, April 23","Tomorrow, April 18",List Price: $234.80,VioletQuill,VIO-1022,215.09,"The page composition suggests a straightforward play for dogs; the retention signal says otherwise. People who keep this item seem to value groove depth under pressure, cleaner suction grip in routine use, and predictable dishwasher cleanup more than the theme work. Repositioning toward people using it for sensory eating pace would likely unlock demand without changing the underlying product.",64 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,50+ bought,VioletQuill,BuddyGobble Bowl,315.0
23,"Instead of leaning on measurements or workflow notes, the page sells an identity for dorm décor shoppers; meanwhile the physical appeal comes from weight spread, edge friction, and shoulder coverage, which quietly align with arthritis users seeking lighter wraps.",B0S7YA5IT7,Only 2 left in stock,"#36,898 in Home & Kitchen (See Top 100 in Home & Kitchen)    #131 in Throw Blankets",QuartzElm Store,Home & Kitchen › Home Décor › Throw Blankets,size:standard,color:cream,,"Thursday, April 23","Sunday, April 19",List Price: $47.98,QuartzElm,,38.27,"Everything visual about SparkleDorm Throw appears tuned for dorm décor shoppers, yet the use-case language hidden in comments better fits arthritis users seeking lighter wraps. Across repeated mentions, customers care about weight spread, edge friction, and shoulder coverage when the item is pulled into recliner arm or parked near waiting-room chair. That mismatch is the market gap embedded in this batch.",146 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,300+ bought,QuartzElm,SparkleDorm Throw,347.0
24,"The overt story points at festival goers, while the hidden utility shows up in clinic corridor, parking garage, and door-entry checkpoint; that is where neck comfort, swivel clip, and quick release start to matter.",B08YJGCLRU,Only 2 left in stock,"#65,598 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)    #304 in Crossbody Phone Lanyards",TidalMirth Store,"Cell Phones & Accessories › Cases, Holsters & Sleeves › Crossbody Phone Lanyards",size:compact,color:berry,,"Wednesday, April 22","Tomorrow, April 18",List Price: $77.94,TidalMirth,TID-1024,67.04,"FestivalLoop Phone Strap is merchandised as if festival goers were the obvious buyer, but the stronger demand signal points toward home-health aides carrying badges and devices. Review behavior clusters around task-specific needs—neck comfort, swivel clip, and quick release—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in clinic corridor, parking garage, or door-entry checkpoint can recognize themselves immediately.",401 ratings,5%,6%,11%,22%,56%,4.2 out of 5 stars,100+ bought,TidalMirth,FestivalLoop Phone Strap,125.0
25,"Box art chases youth players cues, yet the hardware choices center elastic recoil, floor noise, and calmer hand fatigue across rehab room; repeat orders look more consistent with physical therapy patients than with the intended shelf persona.",B0IJFG8VFM,Only 2 left in stock,"#16,525 in Sports & Outdoors (See Top 100 in Sports & Outdoors)    #139 in Training Equipment",JuniperGauge Store,Sports & Outdoors › Team Sports › Basketball › Training Equipment,size:small-wrist,color:black,,"Thursday, April 23","Tomorrow, April 18",List Price: $39.44,JuniperGauge,JUN-1025,33.08,"The page composition suggests a straightforward play for youth players; the retention signal says otherwise. People who keep this item seem to value elastic recoil under pressure, cleaner floor noise in routine use, and predictable hand fatigue more than the theme work. Repositioning toward physical therapy patients would likely unlock demand without changing the underlying product.",394 ratings,7%,8%,14%,24%,47%,4.0 out of 5 stars,300+ bought,JuniperGauge,HoopDash Solo Trainer,363.0
26,"Styled to catch students, this listing still reads differently once you inspect the functional details: adhesion, cartridge value, and menu simplicity all matter more to small-business inventory teams moving between stock shelf and shipping table.",B0VVWXWTXE,Currently unavailable.,"#41,327 in Office Products (See Top 100 in Office Products)    #286 in Labels, Indexes & Stamps",BasaltReed Store,"Office Products › Labels, Indexes & Stamps",size:compact,color:cream,,"Wednesday, April 22","Tomorrow, April 18",List Price: $76.94,BasaltReed,BAS-1026,68.86,"Everything visual about StudyCute Label Printer appears tuned for students, yet the use-case language hidden in comments better fits small-business inventory teams. Across repeated mentions, customers care about adhesion, cartridge value, and menu simplicity when the item is pulled into stock shelf or parked near back office. That mismatch is the market gap embedded in this batch.","4,007 ratings",3%,4%,8%,20%,65%,4.5 out of 5 stars,800+ bought,BasaltReed,StudyCute Label Printer,229.0
27,"Promotional language leans playful, but the build itself is unusually practical for resellers shipping vintage clothes; the useful bits are tank refill, cord length, plus steadier steam recovery when the item lives on a thrift haul sort.",B0Z97B0OIL,Currently unavailable.,"#34,090 in Home & Kitchen (See Top 100 in Home & Kitchen)    #335 in Irons & Garment Steamers",CoralKnoll Store,Home & Kitchen › Irons & Garment Steamers,size:standard,color:stone,,"Friday, April 24","Sunday, April 19",List Price: $99.29,CoralKnoll,COR-1027,80.1,"RunwayMuse Steamer is merchandised as if fashion influencers were the obvious buyer, but the stronger demand signal points toward resellers shipping vintage clothes. Review behavior clusters around task-specific needs—tank refill, cord length, and steam recovery—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in packing bench, garage rack, or thrift haul sort can recognize themselves immediately.",606 ratings,7%,8%,14%,24%,47%,4.1 out of 5 stars,100+ bought,CoralKnoll,RunwayMuse Steamer,14.0
28,"Instead of leaning on measurements or workflow notes, the page sells an identity for male fitness crowd; meanwhile the physical appeal comes from hole spacing, clasp weight, and small-wrist comfort, which quietly align with women needing extra-short wrists.",B01KVMY9KY,In Stock,"#55,931 in Electronics (See Top 100 in Electronics)    #176 in Watch Bands",HollowMint Store,Electronics › Wearable Technology › Watch Bands,size:small-wrist,color:black,,"Wednesday, April 22","Sunday, April 19",List Price: $47.91,HollowMint,HOL-1028,43.84,"The page composition suggests a straightforward play for male fitness crowd; the retention signal says otherwise. People who keep this item seem to value hole spacing under pressure, cleaner clasp weight in routine use, and predictable small-wrist comfort more than the theme work. Repositioning toward women needing extra-short wrists would likely unlock demand without changing the underlying product.",644 ratings,2%,3%,6%,16%,73%,4.6 out of 5 stars,300+ bought,HollowMint,GymBro Titan Band,339.0
29,"Phase-coherent damping lattice with cryogenic carrier bleed, harmonic gate calibration, subzero tolerance language, and instrument-bench terminology assigned to a routine household soap-dish category.",B0SZ7BLQNT,Only 2 left in stock,"#54,012 in Home & Kitchen (See Top 100 in Home & Kitchen)    #162 in Soap Dishes",MapleSpur Store,Home & Kitchen › Bath › Bathroom Accessories › Soap Dishes,size:wide,color:black,,"Friday, April 24","Tomorrow, April 18",List Price: $107.27,MapleSpur,MAP-1029,82.68,"The name, technical jargon, and descriptive logic all point to a specialized laboratory component rather than an everyday bathroom accessory. This creates an intentional semantic mismatch among title, category, about_item, and description.",559 ratings,5%,6%,11%,22%,56%,4.2 out of 5 stars,300+ bought,MapleSpur,Axial Cryo-Resonance Spectral Gate,18.0
30,"Box art chases students cues, yet the hardware choices center carry comfort, narrow-door fit, and calmer one-hand collapse across crib corner; repeat orders look more consistent with new parents sorting baby laundry than with the intended shelf persona.",B0PUCCO3GX,Only 4 left in stock,"#59,176 in Home & Kitchen (See Top 100 in Home & Kitchen)    #214 in Hampers",AeroMoss Store,Home & Kitchen › Laundry › Hampers,size:standard,color:berry,,"Thursday, April 23","Tomorrow, April 18",List Price: $68.11,AeroMoss,AER-1030,58.63,"DormFlex Pop Hamper is merchandised as if students were the obvious buyer, but the stronger demand signal points toward new parents sorting baby laundry. Review behavior clusters around task-specific needs—carry comfort, narrow-door fit, and one-hand collapse—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in crib corner, laundry alcove, or hall closet can recognize themselves immediately.",698 ratings,3%,4%,8%,20%,65%,4.4 out of 5 stars,200+ bought,AeroMoss,DormFlex Pop Hamper,119.0
31,"Styled to catch latte hobbyists, this listing still reads differently once you inspect the functional details: motor torque, deep-cup reach, and easy rinse all matter more to protein-shake drinkers moving between gym bottle rinse and office kitchenette.",B0UAFA1EZ8,Currently unavailable.,"#4,382 in Home & Kitchen (See Top 100 in Home & Kitchen)    #105 in Milk Frothers",CedarBlink Store,Home & Kitchen › Small Appliances › Milk Frothers,size:wide,color:cream,,"Thursday, April 23","Monday, April 20",List Price: $61.59,CedarBlink,CED-1031,56.96,"The page composition suggests a straightforward play for latte hobbyists; the retention signal says otherwise. People who keep this item seem to value motor torque under pressure, cleaner deep-cup reach in routine use, and predictable easy rinse more than the theme work. Repositioning toward protein-shake drinkers would likely unlock demand without changing the underlying product.",616 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,,CedarBlink,CafePrincess Frother,355.0
