s.no,about_item,asin,availability,best_sellers_rank,brand_name,breadcrumbs,default_variant/0,default_variant/1,default_variant/2,delivery_date,fastest_delivery_date,list_price,manufacturer,model_number,price_value,product_description,rating_count,rating_distribution/1star,rating_distribution/2star,rating_distribution/3star,rating_distribution/4star,rating_distribution/5star,rating_stars,recent_purchases,seller_name,title,rank_1
11,plain format for after-gym routines; airless pod seal chosen for this face cream refill pods; pod lids are marked left and right for shared jars; pack size 2-pod because the useful life ends before the next store run; Pearl variant under dermloop refill line,B0CEZ9FO7Z,Currently unavailable.,"#63,776 in Beauty (#331 in Moisturizer Refill Pods)",DermLoop Store,Beauty > Skin Care > Face Moisturizers > Refill Pods,count:2-pod,color:Pearl,,"Friday, April 24","Sunday, April 19",List Price: $25.43,DermLoop,DER-1011,22.64,"DermLoop treats face cream refill pods as a routine product for after-gym routines, which matters because the jar stays on the shelf because the refill pod is gone. Small details like pod lids are marked left and right for shared jars can remove just enough friction to make auto-ship more attractive than bargain hunting.","2,541 ratings",8%,9%,15%,25%,43%,4.1 out of 5 stars,500+ bought,DermLoop,DermLoop Face Cream Refill Pods — 2-pod Pearl,251.0
12,practical format for studio apartment storage; charcoal mesh weave chosen for this compost charcoal filters; the filter envelope keeps smells off the drawer; pack size 12-pack because people realize too late that the last refill is already open; Black variant under cedarmelt refill line,B0NWUY2EPF,Only 2 left in stock,"#52,509 in Kitchen & Dining (#49 in Compost Filter Packs)",CedarMelt Store,"Kitchen & Dining > Trash, Recycling & Compost > Compost Bin Filters",count:12-pack,color:Black,,"Wednesday, April 22","Monday, April 20",List Price: $27.23,CedarMelt,CED-1012,20.56,"The first purchase is rarely the hard part with compost charcoal filters; the real break happens when the countertop bin turns sour faster than expected. This listing quietly addresses that with charcoal mesh weave plus the filter envelope keeps smells off the drawer, suggesting a strong refill-program angle.",449 ratings,3%,4%,8%,18%,67%,4.4 out of 5 stars,,CedarMelt,CedarMelt Compost Charcoal Filters — 12-pack Black,357.0
13,cabinet-smart format for rainy-season driving; tablet dilution ratio chosen for this washer fluid tablets; one tablet equals a fixed reservoir fill; pack size 24-tablet because refills sell separately in awkward quantities; Blue variant under roadmint refill line,B0JH0NJBI6,Only 4 left in stock,"#19,491 in Automotive (#72 in Washer Fluid Concentrates)",RoadMint Store,Automotive > Oils & Fluids > Windshield Washer Fluid Tablets,count:24-tablet,color:Blue,,"Wednesday, April 22","Tomorrow, April 18",List Price: $41.82,RoadMint,ROA-1013,32.02,Buyers do not talk about washer fluid tablets like a luxury item. They talk about moments when washer fluid plans fail exactly when the windshield gets filthy. RoadMint seems aware of that by highlighting one tablet equals a fixed reservoir fill and a pack configuration built around continuity.,427 ratings,5%,6%,10%,21%,58%,4.3 out of 5 stars,300+ bought,RoadMint,RoadMint Washer Fluid Tablets — 24-tablet Blue,70.0
14,routine-friendly format for holiday hosting; citric descaling blend chosen for this descaling powder sachets; sachets are divided for light and heavy scale weeks; pack size 10-pack because the main device becomes idle the moment the consumable runs out; Citrus variant under boilerbright refill line,B0HYK2XWAH,Currently unavailable.,"#25,074 in Home & Kitchen (#315 in Coffee Machine Descaler)",BoilerBright Store,Home & Kitchen > Coffee Makers > Descaling & Cleaning,count:10-pack,color:Citrus,,"Wednesday, April 22","Monday, April 20",List Price: $38.76,,BOI-1014,30.21,"If you read this category through a business lens, the signal is obvious: descale day gets skipped and the machine pays for it. BoilerBright's descaling powder sachets uses citric descaling blend and sachets are divided for light and heavy scale weeks to make the repeat-buy cycle less error-prone.",661 ratings,3%,4%,8%,18%,67%,4.5 out of 5 stars,100+ bought,BoilerBright,BoilerBright Descaling Powder Sachets — 10-pack Citrus,162.0
15,compact format for sports-parent scheduling; gel viscosity hold chosen for this microwave gel packs; the gel packs stack without sticking together; pack size 2-pack because households underestimate how fast the pack disappears; Slate variant under kneeharbor refill line,B0VDDDC89C,Currently unavailable.,"#11,355 in Health & Household (#171 in Therapy Gel Refills)",KneeHarbor Store,Health & Household > Pain Relief > Heating Pads > Gel Refills,count:2-pack,color:Slate,,"Saturday, April 25","Monday, April 20",List Price: $75.02,KneeHarbor,KNE-1015,58.94,The hidden pain point with microwave gel packs is not performance testing; it is what happens when recovery tools stop being useful when the gel pack tears. Packaging cues such as the gel packs stack without sticking together show why replenishment design could be a bigger differentiator than another formula tweak.,713 ratings,5%,6%,10%,21%,58%,4.2 out of 5 stars,200+ bought,KneeHarbor,KneeHarbor Microwave Gel Packs — 2-pack Slate,397.0
16,calendar-aware format for craft fair weekends; color-stable film chemistry chosen for this instant photo film; shot count is visible before the foil even opens; pack size 60-shot because there is no obvious cue for when to reorder; Rainbow variant under framefizz refill line,B0BRYWPRGT,Only 2 left in stock,"#34,522 in Electronics (#390 in Instant Camera Film)",FrameFizz Store,Electronics > Camera & Photo > Instant Film,count:60-shot,color:Rainbow,,"Wednesday, April 22","Tomorrow, April 18",List Price: $94.68,FrameFizz,FRA-1016,78.52,"For households using instant photo film during craft fair weekends, the bigger story is that the camera survives the trip but the moments do not print. FrameFizz turns that into a practical listing by emphasizing color-stable film chemistry and shot count is visible before the foil even opens.",56 ratings,8%,9%,15%,25%,43%,4.1 out of 5 stars,50+ bought,FrameFizz,FrameFizz Instant Photo Film — 60-shot Rainbow,131.0
17,"month-ready format for curly-hair wash days; soap-free cleanse base chosen for this shampoo refill pouch; the pouch spout stands up in a crowded shower caddy; pack size 1-liter because the shelf life is fine, but reorder planning is poor; Amber variant under rootcurrent refill line",B07SBMQV92,Currently unavailable.,"#47,793 in Beauty (#359 in Shampoo Refill Pouches)",RootCurrent Store,Beauty > Hair Care > Shampoo > Refill Pouches,count:1-liter,color:Amber,,"Friday, April 24","Monday, April 20",List Price: $25.61,RootCurrent,ROO-1017,20.77,"RootCurrent's shampoo refill pouch reads like a response to a common planning gap: wash day gets delayed because the last pouch was already opened. Instead of promising magic, the listing adds the pouch spout stands up in a crowded shower caddy and refill-oriented pack logic that points toward subscription demand.","3,724 ratings",1%,1%,3%,9%,86%,4.9 out of 5 stars,500+ bought,RootCurrent,RootCurrent Shampoo Refill Pouch — 1-liter Amber,393.0
18,storage-minded format for newborn months; odor-lock liner seam chosen for this diaper pail refill ring; the refill ring carton actually shows nursery-month math; pack size 4-pack because buyers want continuity more than a one-time discount; Mint variant under nurseryseal refill line,B0I5P5CI8B,Only 2 left in stock,"#56,694 in Baby (#292 in Diaper Pail Refill Rings)",NurserySeal Store,Baby > Diapering > Diaper Pail Refills,count:4-pack,color:Mint,,"Friday, April 24","Sunday, April 19",List Price: $49.35,NurserySeal,NUR-1018,38.9,"The commercial opportunity around diaper pail refill ring appears after the first pack is gone. When the pail is ready but the refill ring is not, buyers start valuing cues like the refill ring carton actually shows nursery-month math far more than decorative extras.",240 ratings,2%,3%,5%,13%,77%,4.6 out of 5 stars,50+ bought,NurserySeal,NurserySeal Diaper Pail Refill Ring — 4-pack Mint,157.0
19,low-drama format for pet-shedding season; bag collar flange chosen for this robot vacuum dust bags; bag packs are slim enough for the charging cabinet; pack size 10-pack because most rivals assume manual replenishment is good enough; Sand variant under orbitsweep refill line,B0RD8D56QJ,In Stock,"#10,495 in Home & Kitchen (#333 in Robot Vacuum Dust Bags)",OrbitSweep Store,Home & Kitchen > Vacuums > Robot Vacuum Accessories,count:10-pack,color:Sand,,"Friday, April 24","Tomorrow, April 18",List Price: $74.71,OrbitSweep,ORB-1019,66.17,"There is a reason repeat-use categories keep rewarding operational clarity. With robot vacuum dust bags, the robot docks itself while the full bag sits overdue. OrbitSweep hints at a better model through bag collar flange and bag packs are slim enough for the charging cabinet.",122 ratings,8%,9%,15%,25%,43%,4.1 out of 5 stars,50+ bought,OrbitSweep,OrbitSweep Robot Vacuum Dust Bags — 10-pack Sand,420.0
20,measured format for tailgate afternoons; needle-sweep dial chosen for this grill propane indicator cartridge; the spare canister fits in the grill tool tray; pack size 2-pack because users keep forgetting the replacement cycle; Red variant under flametally refill line,B023ZL6NWO,Only 4 left in stock,"#36,346 in Patio, Lawn & Garden (#44 in Propane Gauge Canisters)",FlameTally Store,"Patio, Lawn & Garden > Grills & Outdoor Cooking > Propane Accessories",count:2-pack,color:Red,,"Wednesday, April 22","Monday, April 20",List Price: $77.39,FlameTally,FLA-1020,59.18,"In this category, grill prep slows down when the spare gauge is missing. FlameTally's take on grill propane indicator cartridge leans on needle-sweep dial and the spare canister fits in the grill tool tray rather than flashy branding. The commercial clue is that replenishment clarity, not novelty, may drive repeat orders here.",199 ratings,5%,6%,10%,21%,58%,4.2 out of 5 stars,50+ bought,FlameTally,FlameTally Grill Propane Indicator Cartridge — 2-pack Red,81.0
21,plain format for medication travel kits; dry-cell humidity barrier chosen for this pill organizer desiccant inserts; each insert strip can be split for shorter trips; pack size 30-pack because the useful life ends before the next store run; Teal variant under drydose refill line,B0PWQNMLAR,In Stock,"#33,702 in Health & Household (#29 in Moisture Absorber Inserts)",DryDose Store,Health & Household > Vitamins & Supplements > Pill Organizers,count:30-pack,color:Teal,,"Friday, April 24","Monday, April 20",List Price: $33.40,DryDose,DRY-1021,27.31,"DryDose treats pill organizer desiccant inserts as a routine product for medication travel kits, which matters because travel meds pick up moisture once the inserts are spent. Small details like each insert strip can be split for shorter trips can remove just enough friction to make auto-ship more attractive than bargain hunting.",335 ratings,8%,9%,15%,25%,43%,4.1 out of 5 stars,100+ bought,DryDose,DryDose Pill Organizer Desiccant Inserts — 30-pack Teal,364.0
22,practical format for home manicure evenings; minute-mark reminder stock chosen for this gel lamp cycle cards; card packs group common cure times on the edge; pack size 50-card because people realize too late that the last refill is already open; Rose variant under saloncue refill line,B0O27WME8Y,Currently unavailable.,"#23,681 in Beauty (#339 in Lamp Timer Cards)",SalonCue Store,Beauty > Nails > Gel Nail Lamps > Timer Cards,count:50-card,color:Rose,,"Thursday, April 23","Sunday, April 19",List Price: $24.95,SalonCue,SAL-1022,21.38,"The first purchase is rarely the hard part with gel lamp cycle cards; the real break happens when home manicures drag on when timing cards run out. This listing quietly addresses that with minute-mark reminder stock plus card packs group common cure times on the edge, suggesting a strong refill-program angle.",712 ratings,2%,3%,5%,13%,77%,4.6 out of 5 stars,50+ bought,SalonCue,SalonCue Gel Lamp Cycle Cards — 50-card Rose,217.0
23,cabinet-smart format for filter-change calendars; MERV cadence chart chosen for this furnace filters; the carton shows quarter-by-quarter replacement spacing; pack size 6-pack because refills sell separately in awkward quantities; White variant under drafthalo refill line,B0ASFN17B7,Only 4 left in stock,"#25,409 in Home Improvement (#244 in Furnace Filter Subscription Packs)",DraftHalo Store,Home Improvement > HVAC > Furnace Filters,count:6-pack,color:White,,"Thursday, April 23","Sunday, April 19",List Price: $19.88,DraftHalo,DRA-1023,15.59,Buyers do not talk about furnace filters like a luxury item. They talk about moments when airflow drops long before people remember the calendar. DraftHalo seems aware of that by highlighting the carton shows quarter-by-quarter replacement spacing and a pack configuration built around continuity.,251 ratings,3%,4%,8%,18%,67%,4.5 out of 5 stars,300+ bought,DraftHalo,DraftHalo Furnace Filters — 6-pack White,127.0
24,routine-friendly format for batch-cooking Sundays; batter scrape guard chosen for this stand mixer bowl liners; liner sheets peel one at a time instead of clinging; pack size 20-pack because the main device becomes idle the moment the consumable runs out; Clear variant under mixguard refill line,B0BEWJD13P,In Stock,"#14,431 in Kitchen & Dining (#401 in Grease Shield Liners)",MixGuard Store,Kitchen & Dining > Baking > Stand Mixer Accessories,count:20-pack,color:Clear,,"Thursday, April 23","Tomorrow, April 18",List Price: $28.10,MixGuard,MIX-1024,25.88,"If you read this category through a business lens, the signal is obvious: baking sessions end with another bowl to scrub. MixGuard's stand mixer bowl liners uses batter scrape guard and liner sheets peel one at a time instead of clinging to make the repeat-buy cycle less error-prone.","3,463 ratings",3%,4%,8%,18%,67%,4.4 out of 5 stars,800+ bought,MixGuard,MixGuard Stand Mixer Bowl Liners — 20-pack Clear,322.0
25,compact format for long rides in summer; sodium-potassium mix chosen for this electrolyte tablets; tube count suits a training block rather than a random promotion; pack size 6-tube because households underestimate how fast the pack disappears; Orange variant under ridesalt refill line,B0Q8JIREOA,Currently unavailable.,"#27,401 in Sports & Outdoors (#268 in Electrolyte Tablet Tubes)",RideSalt Store,Sports & Outdoors > Cycling > Hydration > Electrolyte Tablets,count:6-tube,color:Orange,,"Friday, April 24","Monday, April 20",List Price: $85.09,RideSalt,RID-1025,68.34,The hidden pain point with electrolyte tablets is not performance testing; it is what happens when hydration plans collapse halfway through a hot ride. Packaging cues such as tube count suits a training block rather than a random promotion show why replenishment design could be a bigger differentiator than another formula tweak.,650 ratings,8%,9%,15%,25%,43%,4.0 out of 5 stars,50+ bought,RideSalt,RideSalt Electrolyte Tablets — 6-tube Orange,41.0
26,calendar-aware format for contact lens travel; borate-free rinse balance chosen for this contact lens solution; the second bottle has a tamper color band; pack size 2-bottle because there is no obvious cue for when to reorder; Clear variant under blinkfoundry refill line,B0B8D2GGUQ,Currently unavailable.,"#18,394 in Beauty (#262 in Contact Lens Solution Refill)",BlinkFoundry Store,Beauty > Contact Lens Care > Lens Solution,count:2-bottle,color:Clear,,"Thursday, April 23","Sunday, April 19",List Price: $27.30,BlinkFoundry,BLI-1026,20.82,"For households using contact lens solution during contact lens travel, the bigger story is that contacts are still in but the solution bottle is empty. BlinkFoundry turns that into a practical listing by emphasizing borate-free rinse balance and the second bottle has a tamper color band.",619 ratings,2%,3%,5%,13%,77%,4.6 out of 5 stars,300+ bought,BlinkFoundry,BlinkFoundry Contact Lens Solution — 2-bottle Clear,184.0
27,"month-ready format for multi-cat homes; drawstring stretch line chosen for this litter box liner refill; the liner fold remembers the pan corners; pack size 40-count because the shelf life is fine, but reorder planning is poor; Gray variant under pansoft refill line",B0IE82D2GS,Only 4 left in stock,"#20,786 in Pet Supplies (#214 in Cat Litter Liners)",PanSoft Store,Pet Supplies > Cats > Litter Box Liners,count:40-count,color:Gray,,"Thursday, April 23","Sunday, April 19",List Price: $22.32,PanSoft,,17.11,"PanSoft's litter box liner refill reads like a response to a common planning gap: litter cleanup becomes messier the second the liner stack ends. Instead of promising magic, the listing adds the liner fold remembers the pan corners and refill-oriented pack logic that points toward subscription demand.",293 ratings,5%,6%,10%,21%,58%,4.2 out of 5 stars,200+ bought,PanSoft,PanSoft Litter Box Liner Refill — 40-count Gray,128.0
28,storage-minded format for freezer bulk prep; embossed vacuum guide chosen for this vacuum roll bags; roll markings help cut the next length faster; pack size 2-roll because buyers want continuity more than a one-time discount; Transparent variant under sealverge refill line,B0NUCIQH4X,In Stock,"#63,615 in Home & Kitchen (#83 in Vacuum Sealer Roll Refills)",SealVerge Store,Home & Kitchen > Food Storage > Vacuum Sealer Bags,count:2-roll,color:Transparent,,"Thursday, April 23","Sunday, April 19",List Price: $87.79,SealVerge,SEA-1028,71.72,"The commercial opportunity around vacuum roll bags appears after the first pack is gone. When bulk prep becomes single-use again without spare rolls, buyers start valuing cues like roll markings help cut the next length faster far more than decorative extras.",634 ratings,5%,6%,10%,21%,58%,4.3 out of 5 stars,300+ bought,SealVerge,SealVerge Vacuum Roll Bags — 2-roll Transparent,253.0
29,low-drama format for birthday-party setups; sugar-to-water ratio chosen for this bubble refill liquid; the jug has a no-drip shoulder for party cleanup; pack size 64-oz because most rivals assume manual replenishment is good enough; Sky variant under playcurrent refill line,B0GKPXCSSY,Currently unavailable.,"#32,621 in Toys & Games (#319 in Bubble Solution Refill)",PlayCurrent Store,Toys & Games > Bubble Blowers > Bubble Solution,count:64-oz,color:Sky,,"Thursday, April 23","Tomorrow, April 18",List Price: $69.86,PlayCurrent,PLA-1029,56.81,"There is a reason repeat-use categories keep rewarding operational clarity. With bubble refill liquid, kids keep the machine but the bubbles disappear first. PlayCurrent hints at a better model through sugar-to-water ratio and the jug has a no-drip shoulder for party cleanup.",354 ratings,3%,4%,8%,18%,67%,4.4 out of 5 stars,100+ bought,PlayCurrent,PlayCurrent Bubble Refill Liquid — 64-oz Sky,180.0
30,measured format for travel fragrance refills; glass-safe neck profile chosen for this atomizer refill vial; the vial neck accepts small funnels cleanly; pack size 6-pack because users keep forgetting the replacement cycle; Frost variant under mistparcel refill line,B0UNZ8FNYD,Only 2 left in stock,"#9,080 in Beauty (#220 in Perfume Refill Vials)",MistParcel Store,Beauty > Fragrance > Travel Atomizers > Refill Vials,count:6-pack,color:Frost,,"Friday, April 24","Tomorrow, April 18",List Price: $72.45,MistParcel,MIS-1030,59.71,"In this category, travel atomizers become display pieces without clean refill vials. MistParcel's take on atomizer refill vial leans on glass-safe neck profile and the vial neck accepts small funnels cleanly rather than flashy branding. The commercial clue is that replenishment clarity, not novelty, may drive repeat orders here.",533 ratings,3%,4%,8%,18%,67%,4.4 out of 5 stars,100+ bought,MistParcel,MistParcel Atomizer Refill Vial — 6-pack Frost,142.0
31,Subzero coupling lattice; reagent routing chamber; axial thermal bleed gate; cryogenic dwell regulator; bench-calibration port geometry,B06E6WDP1Q,Only 2 left in stock,"#58,951 in Beauty (#174 in Nail Dryers)",ThermaVector Store,Beauty > Makeup Tools > Nail Dryers,count:bench unit,color:Steel,,"Wednesday, April 22","Monday, April 20",List Price: $250.50,ThermaVector,THE-1031,189.0,"The title, component names, and functional language all describe a technical cryogenic coupling instrument. Nothing in the listing reads like a personal-care accessory, yet the category placement says nail dryer.",144 ratings,5%,6%,10%,21%,58%,4.3 out of 5 stars,,ThermaVector,ThermaVector Cryogenic Coupler Manifold with Axial Stabilization Grid,118.0
32,practical format for café closing shifts; milk-stone solvent mix chosen for this steam wand cleaner tabs; tablets dissolve without leaving chalk in the pitcher; pack size 30-count because people realize too late that the last refill is already open; White variant under foamcircuit refill line,B0NU3LLPPJ,Only 4 left in stock,"#3,542 in Home & Kitchen (#45 in Steam Wand Cleaner Tablets)",FoamCircuit Store,Home & Kitchen > Espresso > Milk Frother Cleaners,count:30-count,color:White,,"Thursday, April 23","Monday, April 20",List Price: $23.07,FoamCircuit,FOA-1032,18.32,"The first purchase is rarely the hard part with steam wand cleaner tabs; the real break happens when milk texture drifts once residue builds on the wand. This listing quietly addresses that with milk-stone solvent mix plus tablets dissolve without leaving chalk in the pitcher, suggesting a strong refill-program angle.",426 ratings,5%,6%,10%,21%,58%,4.3 out of 5 stars,200+ bought,FoamCircuit,FoamCircuit Steam Wand Cleaner Tabs — 30-count White,388.0
33,cabinet-smart format for first-aid drawer restocks; skin-safe adhesive release chosen for this hydrocolloid refill sheets; sheets separate with dry hands or damp ones; pack size 24-count because refills sell separately in awkward quantities; Nude variant under patchkind refill line,B01P9JN9K4,Only 4 left in stock,"#17,376 in Health & Household (#43 in Hydrocolloid Refill Sheets)",PatchKind Store,Health & Household > First Aid > Adhesive Bandages,count:24-count,color:Nude,,"Friday, April 24","Sunday, April 19",List Price: $31.37,PatchKind,PAT-1033,27.92,Buyers do not talk about hydrocolloid refill sheets like a luxury item. They talk about moments when the bandage box looks full until the refill sheets are gone. PatchKind seems aware of that by highlighting sheets separate with dry hands or damp ones and a pack configuration built around continuity.,"1,914 ratings",1%,1%,3%,9%,86%,4.8 out of 5 stars,1K+ bought,PatchKind,PatchKind Hydrocolloid Refill Sheets — 24-count Nude,398.0
